id;asset_id;barrier_id;name;display_order;created_at;updated_at
-3;2;-1;Unassigned;9;2017-09-20 12:34:11;2017-09-20 12:34:11
-2;1;-1;Unassigned;9;2017-09-20 12:34:11;2017-09-20 12:34:11
-1;-1;-1;Unassigned;9;2017-09-20 12:34:11;2017-09-20 12:34:11
2;1;1;Ignition Control;1;2017-09-20 12:34:11;2017-09-20 12:34:11
3;1;5;Emergency Response;1;2017-09-20 12:34:11;2017-09-20 12:34:11
4;1;4;Protection Systems;1;2017-09-20 12:34:11;2017-09-20 12:34:11
5;1;5;Lifesaving;2;2017-09-20 12:34:11;2017-09-20 12:34:11
6;1;3;Shutdown Systems;1;2017-09-20 12:34:11;2017-09-20 12:34:11
7;1;1;Process Containment;2;2017-09-20 12:34:11;2017-09-20 12:34:11
8;1;2;Detection Systems;1;2017-09-20 12:34:11;2017-09-20 12:34:11
9;1;1;Structural Integrity;1;2017-09-20 12:34:11;2017-09-20 12:34:11
10;2;1;Structural Integrity;1;2017-09-20 12:34:11;2017-09-20 12:34:11
11;2;1;Process Containment;2;2017-09-20 12:34:11;2017-09-20 12:34:11
12;2;1;Ignition Control;3;2017-09-20 12:34:11;2017-09-20 12:34:11
13;2;2;Detection Systems;1;2017-09-20 12:34:11;2017-09-20 12:34:11
14;2;3;Shutdown Systems;1;2017-09-20 12:34:11;2017-09-20 12:34:11
15;2;4;Protection Systems;1;2017-09-20 12:34:11;2017-09-20 12:34:11
16;2;5;Emergency Response;1;2017-09-20 12:34:11;2017-09-20 12:34:11
17;2;5;Lifesaving;2;2017-09-20 12:34:11;2017-09-20 12:34:11
